table,key,field,expected,tolerance
Table 1,61692,R1b,0,0
Table 1,61692,R2a,0,0
Table 1,61692,Rx2b,0,0
Table 1,61692,Rx2a,0,0
Table 1,61692,R2b,0,0
Table 1,61692,R3a,1,0
Table 1,61692,R3b,0,0
Table 1,61692,HoT,24,0
Table 1,61692,Inner_Bay,5,0
Table 1,61692,Outer_Bay,5,0
Table 1,61692,all_SoBI,0,0
Table 1,61692,total_detections,55,0
Table 1,61692,release_Rx1_days,2.07,0.005000000001
Table 1,61692,release_HoT_days,2.52,0.005000000001
Table 1,61692,HoT_inner_days,1.47,0.005000000001
Table 1,61692,HoT_outer_days,3.26,0.005000000001
Table 1,61692,HoT_SoBI_days,NA,0.500000000001
Table 1,61693,fish_id,61693,0
Table 1,61693,fork_length_mm,162,0
Table 1,61693,weight_g,35.7,0.050000000001
Table 1,61693,RP1,1,0
Table 1,61693,all_MM,3,0
Table 1,61693,Rx1,1,0
Table 1,61693,R1a,0,0
Table 1,61693,R1b,0,0
Table 1,61693,R2a,0,0
Table 1,61693,Rx2b,0,0
Table 1,61693,Rx2a,0,0
Table 1,61693,R2b,0,0
Table 1,61693,R3a,2,0
Table 1,61693,R3b,0,0
Table 1,61693,HoT,1,0
Table 1,61693,Inner_Bay,0,0
Table 1,61693,Outer_Bay,0,0
Table 1,61693,all_SoBI,9,0
Table 1,61693,total_detections,17,0
Table 1,61693,release_Rx1_days,2.16,0.005000000001
Table 1,61693,release_HoT_days,3.97,0.005000000001
Table 1,61693,HoT_inner_days,NA,0.500000000001
Table 1,61693,HoT_outer_days,NA,0.500000000001
Table 1,61693,HoT_SoBI_days,33.56,0.005000000001
Table 1,61834,fish_id,61834,0
Table 1,61834,fork_length_mm,146,0
Table 1,61834,weight_g,25.6,0.050000000001
Table 1,61834,RP1,1,0
Table 1,61834,all_MM,10,0
Table 1,61834,Rx1,1,0
Table 1,61834,R1a,0,0
Table 1,61834,R1b,2,0
Table 1,61834,R2a,0,0
Table 1,61834,Rx2b,1,0
Table 1,61834,Rx2a,0,0
Table 1,61834,R2b,0,0
Table 1,61834,R3a,0,0
Table 1,61834,R3b,0,0
Table 1,61834,HoT,24,0
Table 1,61834,Inner_Bay,0,0
Table 1,61834,Outer_Bay,3,0
Table 1,61834,all_SoBI,8,0
Table 1,61834,total_detections,50,0
Table 1,61834,release_Rx1_days,1.43,0.005000000001
Table 1,61834,release_HoT_days,3.62,0.005000000001
Table 1,61834,HoT_inner_days,NA,0.500000000001
Table 1,61834,HoT_outer_days,5.46,0.005000000001
Table 1,61834,HoT_SoBI_days,32.83,0.005000000001
Table 1,61835,fish_id,61835,0
