fish_id,location_id,first_detection_datetime,last_detection_datetime,detection_count,detected
61859,all_SoBI,NA,NA,0,0
61860,RP1,NA,NA,0,0
61860,all_MM,NA,NA,0,0
61860,Rx1,NA,NA,0,0
61860,R1a,NA,NA,0,0
61860,R1b,NA,NA,0,0
61860,R2a,NA,NA,0,0
61860,Rx2b,NA,NA,0,0
61860,Rx2a,NA,NA,0,0
61860,R2b,NA,NA,0,0
61860,R3a,NA,NA,0,0
61860,R3b,NA,NA,0,0
61860,HoT,2022-06-02T22:17:11-0400,2022-06-03T13:27:33-0400,144,1
61860,Inner_Bay,2022-06-05T01:56:15-0400,2022-06-05T02:18:01-0400,23,1
61860,Outer_Bay,2022-06-10T10:45:03-0400,2022-06-10T11:40:07-0400,52,1
61860,all_SoBI,NA,NA,0,0
61861,RP1,NA,NA,0,0
61861,all_MM,NA,NA,0,0
61861,Rx1,NA,NA,0,0
61861,R1a,NA,NA,0,0
